iter	Passed	Remaining
0	0	68
1	1	80
2	2	65
3	2	58
4	2	53
5	3	50
6	3	47
7	3	45
8	4	43
9	4	42
10	5	41
11	5	40
12	6	40
13	6	39
14	6	38
15	7	37
16	7	37
17	7	36
18	8	35
19	8	35
20	9	34
21	9	33
22	9	32
23	10	32
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	14	27
34	14	27
35	14	26
36	15	26
37	15	25
38	16	25
39	16	24
40	16	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	19	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	15
64	27	14
65	27	14
66	27	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	30	10
74	31	10
75	31	10
76	32	9
77	32	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
