iter	RMSE
0	0.9276337105
1	0.8616647949
2	0.8066329229
3	0.7557996827
4	0.7123207596
5	0.6783597737
6	0.6460355084
7	0.6151712902
8	0.5898655329
9	0.5651509844
10	0.5440679447
11	0.5277451076
12	0.5097452999
13	0.4947629799
14	0.4827941803
15	0.4739065224
16	0.4623219808
17	0.4541751981
18	0.4436837715
19	0.4376144174
20	0.4299527929
21	0.4177016504
22	0.4119313751
23	0.4037639855
24	0.3970982411
25	0.3931675582
26	0.3882597185
27	0.3850143862
28	0.3792008021
29	0.3735243712
30	0.3678513784
31	0.365168342
32	0.3598202313
33	0.3522226645
34	0.3485051727
35	0.3454852171
36	0.3434181085
37	0.3401320684
38	0.3385735563
39	0.3355514789
40	0.3305369575
41	0.3287321668
42	0.3260806953
43	0.322175374
44	0.3196155641
45	0.3169627418
46	0.3145455063
47	0.3125609614
48	0.3096662483
49	0.3078216652
50	0.3064443214
51	0.3046248518
52	0.3027114111
53	0.3008381681
54	0.2994783238
55	0.2980965541
56	0.2945232144
57	0.2937337816
58	0.2925618735
59	0.2914626126
60	0.2885294561
61	0.2864774651
62	0.2855746409
63	0.2841263919
64	0.2808191014
65	0.2796534007
66	0.2785116061
67	0.2773818887
68	0.2759815635
69	0.2747862719
70	0.2733475054
71	0.2707413987
72	0.2687152166
73	0.2679626052
74	0.2672411129
75	0.2659058176
76	0.2635834896
77	0.2623488172
78	0.2618300962
79	0.2607071523
80	0.259586674
81	0.2576416663
82	0.2545848675
83	0.2535375119
84	0.2527195392
85	0.2518738481
86	0.24954043
87	0.2480991607
88	0.2474336749
89	0.2466486344
90	0.2455806951
91	0.2440187691
92	0.2429329374
93	0.2414138852
94	0.2404305109
95	0.2399017104
96	0.2393556333
97	0.2377330354
98	0.2371428045
99	0.236303368
