iter	Passed	Remaining
0	3	389
1	10	534
2	14	481
3	16	407
4	18	353
5	19	312
6	21	280
7	22	256
8	23	235
9	28	256
10	35	288
11	38	284
12	40	273
13	42	261
14	43	249
15	45	237
16	46	229
17	53	245
18	59	254
19	62	249
20	64	240
21	65	232
22	66	223
23	68	215
24	70	212
25	77	220
26	82	223
27	85	219
28	87	213
29	88	206
30	89	200
31	91	193
32	94	192
33	102	198
34	106	197
35	108	192
36	110	187
37	111	182
38	112	176
39	114	171
40	119	171
41	126	174
42	129	171
43	131	167
44	133	162
45	134	158
46	135	153
47	137	148
48	142	148
49	149	149
50	152	146
51	154	142
52	156	138
53	157	134
54	158	129
55	159	125
56	160	121
57	167	121
58	174	120
59	176	117
60	178	114
61	179	110
62	181	106
63	182	102
64	185	99
65	192	99
66	197	97
67	199	93
68	201	90
69	202	86
70	204	83
71	205	79
72	209	77
73	216	76
74	220	73
75	222	70
76	224	67
77	225	63
78	227	60
79	228	57
80	232	54
81	239	52
82	243	49
83	245	46
84	247	43
85	248	40
86	249	37
87	251	34
88	255	31
89	262	29
90	266	26
91	268	23
92	269	20
93	271	17
94	272	14
95	273	11
96	276	8
97	283	5
98	288	2
99	290	0
