iter	RMSE
0	0.9367860189
1	0.8713755132
2	0.8133862406
3	0.7634828983
4	0.7167822903
5	0.6782431019
6	0.6396836307
7	0.6085512643
8	0.5790632571
9	0.5546997922
10	0.5337353649
11	0.5147144341
12	0.4978037111
13	0.4835710606
14	0.4703062885
15	0.4587777737
16	0.4484146406
17	0.4398807643
18	0.4308745012
19	0.4236897653
20	0.4173411952
21	0.411544349
22	0.4058541535
23	0.4002051182
24	0.3960869445
25	0.3912645842
26	0.3859127834
27	0.3826599261
28	0.3800535877
29	0.3767843998
30	0.3742351758
31	0.3705720102
32	0.3682772269
33	0.3662389002
34	0.3629278425
35	0.3603932125
36	0.358355523
37	0.3568900848
38	0.3553556641
39	0.3538470524
40	0.3524939033
41	0.3521266201
42	0.3512139279
43	0.3483635544
44	0.3465227213
45	0.345078517
46	0.3439947326
47	0.3432660699
48	0.3420144251
49	0.3415930812
50	0.3413526622
51	0.3401705401
52	0.3379821136
53	0.3353316241
54	0.3349946475
55	0.334257479
56	0.3337946055
57	0.3319208924
58	0.3312253876
59	0.3310106576
60	0.3303137543
61	0.3293007769
62	0.3291324757
63	0.3288657265
64	0.3279391031
65	0.3261571682
66	0.3259378049
67	0.3257592646
68	0.3254803286
69	0.3250001461
70	0.3233994542
71	0.3225018844
72	0.3219431553
73	0.3214759166
74	0.3212966621
75	0.3205329161
76	0.3204039949
77	0.318866444
78	0.3178032561
79	0.3171470426
80	0.3168020752
81	0.3156193249
82	0.3153911593
83	0.3152830768
84	0.3148311206
85	0.31465206
86	0.3145569705
87	0.3138813771
88	0.313414048
89	0.3121309471
90	0.3114490451
91	0.3111373916
92	0.3099292909
93	0.3090034186
94	0.3077511495
95	0.3071189455
96	0.3064505474
97	0.3059103995
98	0.3057756203
99	0.3053403693
