iter	Passed	Remaining
0	0	74
1	1	70
2	2	67
3	2	66
4	3	65
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	56
15	10	55
16	11	55
17	12	54
18	12	53
19	13	53
20	14	52
21	14	52
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	25	42
37	26	42
38	27	42
39	27	41
40	28	40
41	29	40
42	29	39
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
