iter	Logloss
0	0.6359778992
1	0.593464218
2	0.5593108672
3	0.5325249086
4	0.5106993132
5	0.4928610386
6	0.4788876236
7	0.467917478
8	0.4581464949
9	0.4509284069
10	0.4447961537
11	0.438350429
12	0.4332667007
13	0.4289114593
14	0.4257529059
15	0.4214979748
16	0.4182524771
17	0.4157776502
18	0.4131613026
19	0.4107832845
20	0.4086512942
21	0.4068094251
22	0.4052495874
23	0.4033676721
24	0.401531185
25	0.3999886719
26	0.3984779318
27	0.3970402318
28	0.3955058623
29	0.3938920395
30	0.3926693258
31	0.3911298709
32	0.3899565806
33	0.3888232113
34	0.3875090336
35	0.3864783745
36	0.3853305871
37	0.3841834221
38	0.3831343471
39	0.3821037821
40	0.380932329
41	0.3798928088
42	0.3788810909
43	0.3777118245
44	0.3767556362
45	0.3758389549
46	0.3749402517
47	0.3738383843
48	0.372862115
49	0.3719891119
50	0.371284227
51	0.370464397
52	0.3695637097
53	0.3688494709
54	0.3681936752
55	0.3671016329
56	0.3657917776
57	0.3649949189
58	0.3643678462
59	0.3635965937
60	0.3628315002
61	0.361697806
62	0.3611110991
63	0.3605080179
64	0.3597252708
65	0.3591269422
66	0.3584701477
67	0.3577941992
68	0.3568159546
69	0.3563027524
70	0.3557241707
71	0.3550498017
72	0.3542117492
73	0.3529082268
74	0.3522334703
75	0.3516279914
76	0.3512567587
77	0.350406262
78	0.3496152063
79	0.3487387585
80	0.3481170387
81	0.3474052922
82	0.3465939773
83	0.3453816879
84	0.3449749594
85	0.3445179053
86	0.3436209945
87	0.3429797539
88	0.3422201779
89	0.341769992
90	0.3410898405
91	0.340548942
92	0.3395350385
93	0.3391351938
94	0.3385204896
95	0.3377414451
96	0.3372449296
97	0.3365111864
98	0.3358451568
99	0.3352194509
100	0.3345636402
101	0.3339683812
102	0.3331337297
103	0.3324785173
104	0.3318356888
105	0.3313443922
106	0.330800237
107	0.330280504
108	0.3295341518
109	0.3290159454
110	0.3278780677
111	0.3273589505
112	0.3268621312
113	0.3262748934
114	0.3258770799
115	0.3252638704
116	0.3247589849
117	0.3240748091
118	0.3236731863
119	0.3229456009
120	0.3220975118
121	0.3215981089
122	0.3211258058
123	0.3202515891
124	0.3193892376
125	0.3188312783
126	0.3180150285
127	0.317564178
128	0.3170255072
129	0.3164470924
130	0.3160916953
131	0.3156378512
132	0.314724278
133	0.3141938052
134	0.3134490199
135	0.3127550237
136	0.3123248798
137	0.3117335702
138	0.3112413277
139	0.3106980942
140	0.3098366869
141	0.3091358418
142	0.3085881151
143	0.308151362
144	0.3075149505
145	0.306932773
146	0.3062590969
147	0.3057973455
148	0.3052848617
149	0.3046970606
150	0.3042870738
151	0.3037576242
152	0.3034088975
153	0.3028532889
154	0.3021828326
155	0.3014288757
156	0.3007957697
157	0.3003209196
158	0.2994241009
159	0.2989321052
160	0.2984201109
161	0.297679002
162	0.2971081988
163	0.2965583019
164	0.29628982
165	0.2958508256
166	0.2953719293
167	0.2949929506
168	0.2945303557
169	0.2941404712
170	0.2936149409
171	0.2931564908
172	0.292747125
173	0.2923015939
174	0.2918240966
175	0.291145337
176	0.2907209453
177	0.2903422621
178	0.2897049002
179	0.2894252247
180	0.2891028162
181	0.2885889838
182	0.2880521816
183	0.2875643477
184	0.2870532479
185	0.2867764569
186	0.2862619143
187	0.2858264809
188	0.2853998564
189	0.2848845979
190	0.2843767074
191	0.2839482823
192	0.2835096316
193	0.2830191639
194	0.2824485323
195	0.282001743
196	0.2816028224
197	0.2811029671
198	0.2805732156
199	0.2801631356
200	0.2798077869
201	0.2794569335
202	0.2791259141
203	0.278674373
204	0.2779696236
205	0.2774257246
206	0.2770492608
207	0.2767930918
208	0.2762550831
209	0.2757366875
210	0.2753438963
211	0.2750096011
212	0.2746372211
213	0.2739747457
214	0.2736197288
215	0.2732811611
216	0.2728899389
217	0.2724813541
218	0.2721213257
219	0.2717065658
220	0.2712211854
221	0.2705397716
222	0.2701947217
223	0.2696601941
224	0.2692175758
225	0.2688208304
226	0.2683639034
227	0.2680416735
228	0.2676639208
229	0.2673659599
230	0.2669856006
231	0.2664724029
232	0.2660214399
233	0.2654915722
234	0.2650706194
235	0.2645511756
236	0.2640152076
237	0.2636899462
238	0.2634142115
239	0.263153011
240	0.2627406445
241	0.2624706122
242	0.2621992581
243	0.2616341405
244	0.26125711
245	0.260960047
246	0.2606517027
247	0.2604244283
248	0.2600199767
249	0.2597809429
250	0.2592418182
251	0.2588395561
252	0.2584281459
253	0.2580897349
254	0.2579031795
255	0.2575050839
256	0.2573129915
257	0.2570174906
258	0.2565330098
259	0.2561525622
260	0.2558041458
261	0.2554744077
262	0.2550354313
263	0.254747662
264	0.2543763141
265	0.2539420005
266	0.2535267437
267	0.2530431408
268	0.2527368964
269	0.2522922261
270	0.2519220308
271	0.251574167
272	0.2513260985
273	0.2509764358
274	0.250675244
275	0.250299628
276	0.2500125803
277	0.2497397446
278	0.2495949002
279	0.2493958427
280	0.24886482
281	0.2485209509
282	0.2480702854
283	0.2476916367
284	0.2473795562
285	0.2470299412
286	0.2467435242
287	0.2462588779
288	0.2458831231
289	0.2456763454
290	0.2453101714
291	0.2449972126
292	0.2447245337
293	0.2443975964
294	0.2439404982
295	0.2436404488
296	0.2432286347
297	0.2429630553
298	0.2425708898
