iter	Passed	Remaining
0	16	13078
1	30	12149
2	48	12926
3	64	12758
4	80	12863
5	98	13052
6	117	13281
7	137	13661
8	157	13811
9	176	13919
10	195	14006
11	214	14107
12	231	13994
13	250	14038
14	267	13988
15	285	13978
16	304	14018
17	321	13960
18	337	13891
19	355	13852
20	373	13844
21	390	13801
22	408	13786
23	427	13830
24	446	13852
25	463	13797
26	476	13635
27	491	13544
28	513	13650
29	531	13642
30	551	13682
31	570	13690
32	588	13674
33	605	13643
34	624	13640
35	641	13609
36	661	13632
37	678	13605
38	696	13594
39	716	13619
40	735	13612
41	755	13631
42	775	13647
43	793	13638
44	812	13623
45	830	13611
46	853	13673
47	877	13740
48	902	13833
49	921	13827
50	946	13895
51	968	13924
52	989	13947
53	1011	13967
54	1033	14005
55	1058	14058
56	1087	14180
57	1121	14350
58	1157	14537
59	1195	14738
60	1228	14887
61	1255	14944
62	1282	15006
63	1315	15131
64	1344	15203
65	1368	15217
66	1389	15200
67	1410	15179
68	1431	15170
69	1454	15165
70	1474	15140
71	1496	15128
72	1519	15133
73	1548	15189
74	1572	15203
75	1597	15216
76	1621	15229
77	1647	15245
78	1670	15245
79	1696	15269
80	1723	15302
81	1751	15333
82	1773	15322
83	1799	15334
84	1818	15300
85	1838	15267
86	1862	15265
87	1885	15254
88	1909	15253
89	1932	15245
90	1955	15239
91	1978	15224
92	2000	15204
93	2021	15182
94	2045	15177
95	2068	15172
96	2092	15165
97	2118	15177
98	2141	15163
99	2170	15194
100	2194	15190
101	2216	15170
102	2240	15162
103	2263	15147
104	2288	15146
105	2311	15134
106	2338	15147
107	2362	15135
108	2392	15166
109	2416	15156
110	2441	15152
111	2460	15115
112	2482	15092
113	2504	15072
114	2525	15045
115	2547	15021
116	2573	15022
117	2602	15041
118	2626	15030
119	2650	15021
120	2674	15010
121	2699	15002
122	2721	14981
123	2745	14965
124	2772	14969
125	2797	14966
126	2823	14960
127	2848	14956
128	2869	14927
129	2891	14900
130	2913	14879
131	2936	14857
132	2959	14843
133	2981	14817
134	3003	14792
135	3026	14774
136	3046	14745
137	3069	14724
138	3093	14708
139	3113	14678
140	3134	14648
141	3157	14630
142	3180	14610
143	3202	14587
144	3225	14572
145	3250	14558
146	3276	14555
147	3300	14538
148	3325	14531
149	3349	14516
150	3372	14496
151	3396	14479
152	3418	14456
153	3450	14472
154	3483	14496
155	3510	14492
156	3535	14478
157	3556	14450
158	3576	14418
159	3596	14387
160	3620	14369
161	3645	14356
162	3670	14345
163	3691	14317
164	3710	14280
165	3732	14256
166	3753	14228
167	3775	14202
168	3797	14178
169	3818	14151
170	3841	14132
171	3864	14109
172	3886	14085
173	3907	14056
174	3926	14023
175	3948	14000
176	3967	13965
177	3987	13934
178	4009	13910
179	4031	13886
180	4052	13858
181	4074	13835
182	4097	13814
183	4118	13787
184	4142	13770
185	4161	13738
186	4183	13712
187	4208	13699
188	4231	13679
189	4258	13673
190	4281	13652
191	4303	13628
192	4325	13604
193	4347	13581
194	4371	13563
195	4393	13539
196	4414	13513
197	4438	13494
198	4461	13474
199	4483	13450
200	4506	13428
201	4526	13399
202	4546	13370
203	4568	13345
204	4592	13328
205	4614	13307
206	4639	13289
207	4659	13260
208	4684	13247
209	4708	13229
210	4735	13218
211	4759	13200
212	4782	13180
213	4807	13164
214	4831	13145
215	4856	13129
216	4882	13118
217	4909	13107
218	4934	13090
219	4958	13072
220	4986	13064
221	5017	13062
222	5042	13047
223	5067	13030
224	5093	13017
225	5117	12997
226	5146	12990
227	5169	12968
228	5195	12954
229	5215	12925
230	5235	12897
231	5262	12884
232	5301	12900
233	5350	12941
234	5406	12998
235	5452	13029
236	5485	13029
237	5515	13023
238	5546	13020
239	5581	13024
240	5607	13006
241	5633	12989
242	5659	12972
243	5685	12955
244	5709	12934
245	5742	12932
246	5775	12929
247	5797	12904
248	5819	12878
249	5840	12848
250	5864	12827
251	5886	12800
252	5911	12781
253	5935	12760
254	5962	12743
255	5984	12717
256	6005	12688
257	6027	12661
258	6050	12637
259	6074	12615
260	6096	12589
261	6119	12566
262	6144	12546
263	6166	12520
264	6188	12492
265	6210	12467
266	6231	12439
267	6255	12417
268	6276	12390
269	6298	12363
270	6322	12342
271	6348	12323
272	6372	12301
273	6393	12274
274	6414	12245
275	6436	12219
276	6457	12191
277	6478	12165
278	6498	12135
279	6522	12113
280	6547	12093
281	6571	12071
282	6594	12047
283	6616	12021
284	6638	11995
285	6659	11968
286	6680	11941
287	6702	11915
288	6726	11894
289	6751	11873
290	6773	11848
291	6796	11824
292	6816	11795
293	6837	11767
294	6862	11747
295	6883	11720
296	6904	11694
297	6926	11667
298	6948	11642
299	6972	11621
300	6995	11597
301	7014	11567
302	7035	11539
303	7057	11514
304	7077	11487
305	7098	11460
306	7123	11439
307	7145	11414
308	7169	11391
309	7192	11369
310	7214	11343
311	7240	11324
312	7260	11297
313	7281	11270
314	7302	11243
315	7323	11217
316	7345	11191
317	7367	11167
318	7392	11146
319	7414	11121
320	7436	11097
321	7457	11070
322	7479	11046
323	7502	11022
324	7522	10994
325	7546	10972
326	7568	10947
327	7592	10926
328	7617	10905
329	7639	10880
330	7659	10853
331	7682	10829
332	7703	10803
333	7726	10779
334	7749	10756
335	7771	10732
336	7796	10711
337	7817	10684
338	7840	10661
339	7863	10638
340	7885	10613
341	7906	10588
